tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
25.79,0.0,272.0,0.0,0.0,0.0,0.0,1596.0,100.0
25.79,0.0,275.0,0.0,0.0,0.0,0.0,1608.0,100.0
25.85,0.0,236.0,0.0,0.0,0.0,0.0,1546.0,100.0
25.85,0.0,268.0,0.0,0.0,0.0,0.0,1544.0,100.0
25.91,0.0,256.0,0.0,0.0,0.0,0.0,1583.0,100.0
25.81,0.0,273.0,0.0,0.0,0.0,0.0,1415.0,100.0
25.73,0.0,277.0,0.0,0.0,0.0,0.0,1429.0,100.0
25.81,0.0,296.0,0.0,0.0,0.0,0.0,1388.0,100.0
25.73,0.0,315.0,0.0,0.0,0.0,0.0,1408.0,100.0
25.75,0.0,288.0,0.0,0.0,0.0,0.0,1381.0,100.0
25.81,0.0,321.0,0.0,0.0,0.0,0.0,1382.0,100.0
25.79,0.0,292.0,0.0,0.0,0.0,0.0,1387.0,100.0
25.79,0.0,329.0,0.0,0.0,0.0,0.0,1429.0,100.0
25.79,0.0,330.0,0.0,0.0,0.0,0.0,1440.0,100.0
25.75,0.0,332.0,0.0,0.0,0.0,0.0,1450.0,100.0
25.69,0.0,339.0,0.0,0.0,0.0,0.0,1450.0,100.0
25.75,0.0,339.0,0.0,0.0,0.0,0.0,1459.0,100.0
25.73,0.0,339.0,0.0,0.0,0.0,0.0,1473.0,100.0
25.75,0.0,348.0,0.0,0.0,0.0,0.0,1463.0,100.0
25.75,0.0,308.0,0.0,0.0,0.0,0.0,1464.0,100.0
25.67,0.0,342.0,0.0,0.0,0.0,0.0,1460.0,100.0
25.73,0.0,407.0,0.0,0.0,0.0,0.0,1463.0,100.0
25.69,0.0,349.0,0.0,0.0,0.0,0.0,1470.0,100.0
25.69,0.0,345.0,0.0,0.0,0.0,0.0,1502.0,100.0
25.73,0.0,323.0,0.0,0.0,0.0,0.0,1486.0,100.0
25.75,0.0,300.0,0.0,0.0,0.0,0.0,1519.0,100.0
25.69,0.0,322.0,168.0,0.0,0.0,0.0,1731.0,100.0
25.75,0.0,291.0,0.0,0.0,0.0,0.0,1739.0,100.0
25.61,0.0,296.0,0.0,0.0,0.0,0.0,1769.0,100.0
25.63,0.0,312.0,0.0,0.0,0.0,0.0,1776.0,100.0
25.73,0.0,256.0,0.0,0.0,0.0,0.0,1860.0,100.0
25.67,0.0,235.0,0.0,0.0,0.0,0.0,1888.0,100.0
25.63,0.0,161.0,0.0,0.0,0.0,0.0,1938.0,100.0
25.69,0.0,138.0,0.0,0.0,0.0,0.0,1997.0,100.0
25.63,0.0,104.0,0.0,0.0,0.0,0.0,2037.0,100.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,2077.0,100.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,100.0
25.67,0.0,23.0,0.0,0.0,0.0,0.0,2112.0,100.0
25.75,0.0,34.0,0.0,0.0,0.0,0.0,2100.0,100.0
25.73,0.0,31.0,0.0,0.0,0.0,0.0,2115.0,100.0
25.73,0.0,18.0,0.0,0.0,0.0,0.0,2124.0,100.0
25.73,0.0,34.0,0.0,0.0,0.0,48.0,2123.0,100.0
25.73,0.0,19.0,0.0,0.0,0.0,0.0,2118.0,100.0
25.75,0.0,133.0,0.0,0.0,0.0,0.0,2023.0,100.0
25.63,0.0,164.0,0.0,0.0,0.0,0.0,1946.0,100.0
25.75,0.0,192.0,0.0,0.0,0.0,0.0,1867.0,100.0
25.67,0.0,223.0,0.0,0.0,0.0,0.0,1803.0,100.0
25.69,0.0,262.0,0.0,0.0,0.0,0.0,1724.0,100.0
25.63,0.0,272.0,0.0,0.0,0.0,0.0,1568.0,100.0
25.61,0.0,304.0,0.0,0.0,0.0,0.0,1574.0,100.0
25.59,0.0,308.0,0.0,0.0,0.0,0.0,1582.0,100.0
25.63,0.0,337.0,0.0,0.0,0.0,0.0,1545.0,100.0
25.59,0.0,323.0,0.0,0.0,0.0,0.0,1489.0,100.0
25.59,0.0,340.0,0.0,0.0,0.0,0.0,1468.0,100.0
25.69,0.0,353.0,0.0,0.0,0.0,0.0,1521.0,100.0
25.69,0.0,368.0,0.0,0.0,0.0,0.0,1520.0,100.0
25.53,0.0,364.0,0.0,0.0,0.0,0.0,1534.0,100.0
25.59,0.0,364.0,0.0,0.0,0.0,0.0,1535.0,100.0
25.61,0.0,358.0,0.0,0.0,0.0,0.0,1542.0,100.0
25.61,0.0,368.0,0.0,0.0,68.0,0.0,1564.0,100.0
25.73,0.0,349.0,0.0,0.0,0.0,0.0,1559.0,100.0
25.61,0.0,400.0,0.0,0.0,0.0,0.0,1453.0,100.0
25.61,0.0,334.0,0.0,0.0,0.0,0.0,1614.0,100.0
25.63,0.0,330.0,0.0,0.0,0.0,0.0,1651.0,100.0
25.59,0.0,304.0,0.0,0.0,0.0,0.0,1835.0,100.0
25.55,0.0,256.0,0.0,0.0,0.0,0.0,1880.0,100.0
25.59,0.0,206.0,0.0,0.0,0.0,0.0,1990.0,100.0
25.61,0.0,118.0,0.0,0.0,0.0,0.0,2044.0,100.0
25.61,0.0,116.0,0.0,0.0,0.0,0.0,2094.0,100.0
25.61,0.0,119.0,0.0,0.0,0.0,0.0,2091.0,100.0
25.61,0.0,167.0,0.0,0.0,0.0,0.0,2105.0,100.0
25.63,0.0,130.0,0.0,0.0,0.0,0.0,2112.0,100.0
25.63,0.0,127.0,0.0,0.0,0.0,0.0,2109.0,15.0
25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
